data,godzina,typ,ml,piers_lewa_min,piers_prawa_min
2026-09-03,08:30,KARMIENIE,0,0,0
2026-09-03,08:30,MLEKO_MATKI,60
2026-09-03,12:10,KARMIENIE,0,0,0
2026-09-03,14:10,KARMIENIE,0,0,0
2026-09-03,14:23,KARMIENIE,0,0,0
2026-09-03,14:23,MLEKO_MODYFIKOWANE,50
2026-09-03,17:10,KARMIENIE,0,0,0
2026-09-03,17:10,MLEKO_MODYFIKOWANE,102
2026-09-03,22:14,WAGA,3700
2026-09-03,23:40,KARMIENIE,0,0,0
2026-09-04,03:31,KARMIENIE,0,0,0
2026-09-04,06:43,WAGA,3700
2026-09-04,06:38,KARMIENIE,0,0,0
2026-09-04,09:52,KARMIENIE,0,0,0
2026-09-04,13:00,KARMIENIE,0,0,0
2026-09-04,15:50,KARMIENIE,0,0,0
2026-09-04,15:50,MLEKO_MATKI,70
2026-09-04,18:00,KARMIENIE,0,0,0
2026-09-04,20:34,KARMIENIE,0,0,0
2026-09-04,20:34,MLEKO_MODYFIKOWANE,100
2026-09-04,23:39,SEN_START,0
2026-09-04,23:39,SEN_STOP,0
2026-09-04,23:39,SEN_START,0
2026-09-04,23:39,SEN_STOP,0
2026-09-04,23:39,SEN_START,0
2026-09-04,23:40,SEN_STOP,0
2026-09-05,01:46,KARMIENIE,0,0,0
2026-09-05,01:46,WAGA,3800
2026-09-05,04:24,KARMIENIE,0,0,0
2026-09-05,07:59,KARMIENIE,0,0,0
2026-09-05,10:30,KARMIENIE,0,0,0
2026-09-05,12:43,KARMIENIE,0,0,0
